x_index,x_name,x_id,x_type,x_source
63,CHRNA5,1138,gene/protein,NCBI
64,PDIA3,2923,gene/protein,NCBI
65,ENO1,2023,gene/protein,NCBI
66,FLOT2,2319,gene/protein,NCBI
67,HLA-DQA1,3117,gene/protein,NCBI
68,ZBTB32,27033,gene/protein,NCBI
69,SRL,6345,gene/protein,NCBI
70,OTX1,5013,gene/protein,NCBI
71,STOM,2040,gene/protein,NCBI
72,ABI3,51225,gene/protein,NCBI
73,GAPDH,2597,gene/protein,NCBI
74,PPP1CA,5499,gene/protein,NCBI
75,APOE,348,gene/protein,NCBI
76,CYP1A2,1544,gene/protein,NCBI
77,SEC23IP,11196,gene/protein,NCBI
78,CDK3,1018,gene/protein,NCBI
79,TF,7018,gene/protein,NCBI
80,ATF3,467,gene/protein,NCBI
81,GRK5,2869,gene/protein,NCBI
82,CAMP,820,gene/protein,NCBI
83,DLST,1743,gene/protein,NCBI
84,CD14,929,gene/protein,NCBI
85,CTAG1B,1485,gene/protein,NCBI
86,ELAVL1,1994,gene/protein,NCBI
87,NECTIN2,5819,gene/protein,NCBI
88,SLC25A5,292,gene/protein,NCBI
89,KLF5,688,gene/protein,NCBI
90,TPP1,1200,gene/protein,NCBI
91,PICALM,8301,gene/protein,NCBI
92,MACF1,23499,gene/protein,NCBI
93,HSPA4,3308,gene/protein,NCBI
94,NOS3,4846,gene/protein,NCBI
95,INSR,3643,gene/protein,NCBI
96,IGF2,3481,gene/protein,NCBI
97,IDE,3416,gene/protein,NCBI
98,HOXC6,3223,gene/protein,NCBI
99,FLOT1,10211,gene/protein,NCBI
100,TNK2,10188,gene/protein,NCBI
101,SRP9,6726,gene/protein,NCBI
102,FOXM1,2305,gene/protein,NCBI
103,U2AF1,7307,gene/protein,NCBI
104,MPO,4353,gene/protein,NCBI
105,HLA-A,3105,gene/protein,NCBI
106,CTNNB1,1499,gene/protein,NCBI
107,SORL1,6653,gene/protein,NCBI
108,SOD2,6648,gene/protein,NCBI
109,ITSN1,6453,gene/protein,NCBI
110,DDX1,1653,gene/protein,NCBI
111,CLTC,1213,gene/protein,NCBI
112,CST3,1471,gene/protein,NCBI
113,GRB2,2885,gene/protein,NCBI
114,PKNOX1,5316,gene/protein,NCBI
115,FOXA1,3169,gene/protein,NCBI
116,PLAU,5328,gene/protein,NCBI
117,CHEK1,1111,gene/protein,NCBI
118,BCAS2,10286,gene/protein,NCBI
119,SCAMP3,10067,gene/protein,NCBI
120,NOTCH2,4853,gene/protein,NCBI
121,HCK,3055,gene/protein,NCBI
122,NCAM1,4684,gene/protein,NCBI
123,GATA2,2624,gene/protein,NCBI
124,EEF1A1,1915,gene/protein,NCBI
125,ACTN4,81,gene/protein,NCBI
126,MEP1A,4224,gene/protein,NCBI
127,CSNK2A1,1457,gene/protein,NCBI
128,SLC2A4,6517,gene/protein,NCBI
129,AKT1,207,gene/protein,NCBI
130,CHRNA9,55584,gene/protein,NCBI
131,RAD50,10111,gene/protein,NCBI
132,IGF1,3479,gene/protein,NCBI
133,SERPING1,710,gene/protein,NCBI
134,LMNA,4000,gene/protein,NCBI
135,GCDH,2639,gene/protein,NCBI
136,GLP1R,2740,gene/protein,NCBI
137,CALB1,793,gene/protein,NCBI
138,EPYC,1833,gene/protein,NCBI
139,BACE1,23621,gene/protein,NCBI
140,CAPZA2,830,gene/protein,NCBI
141,ARVCF,421,gene/protein,NCBI
142,CSF1R,1436,gene/protein,NCBI
143,DCN,1634,gene/protein,NCBI
144,MTHFR,4524,gene/protein,NCBI
145,FABP4,2167,gene/protein,NCBI
146,RELN,5649,gene/protein,NCBI
147,ARNT,405,gene/protein,NCBI
148,GATA1,2623,gene/protein,NCBI
149,E2F1,1869,gene/protein,NCBI
150,C7,730,gene/protein,NCBI
151,RAP1GDS1,5910,gene/protein,NCBI
152,BDNF,627,gene/protein,NCBI
153,UBL4A,8266,gene/protein,NCBI
154,HNRNPU,3192,gene/protein,NCBI
155,DRD2,1813,gene/protein,NCBI
156,MAGEA12,4111,gene/protein,NCBI
157,TCF4,6925,gene/protein,NCBI
158,AQP3,360,gene/protein,NCBI
159,FOXI1,2299,gene/protein,NCBI
160,ASL,435,gene/protein,NCBI
161,PSMA1,5682,gene/protein,NCBI
162,TFAM,7019,gene/protein,NCBI
163,ATP2B2,491,gene/protein,NCBI
164,ZYX,7791,gene/protein,NCBI
165,VSNL1,7447,gene/protein,NCBI
166,SPAST,6683,gene/protein,NCBI
167,LNPEP,4012,gene/protein,NCBI
168,CYP2C18,1562,gene/protein,NCBI
169,PRNP,5621,gene/protein,NCBI
170,CIITA,4261,gene/protein,NCBI
171,THRAP3,9967,gene/protein,NCBI
172,CEPT1,10390,gene/protein,NCBI
173,HTT,3064,gene/protein,NCBI
174,EDN1,1906,gene/protein,NCBI
175,CACNA1C,775,gene/protein,NCBI
176,RAP2A,5911,gene/protein,NCBI
177,CSK,1445,gene/protein,NCBI
178,SDHA,6389,gene/protein,NCBI
179,ARHGDIA,396,gene/protein,NCBI
180,CLDN7,1366,gene/protein,NCBI
181,PBX1,5087,gene/protein,NCBI
182,SEPTIN2,4735,gene/protein,NCBI
183,CIRBP,1153,gene/protein,NCBI
184,DUSP6,1848,gene/protein,NCBI
185,PGRMC1,10857,gene/protein,NCBI
186,GCM2,9247,gene/protein,NCBI
187,CDC25A,993,gene/protein,NCBI
188,CEBPB,1051,gene/protein,NCBI
189,EVI2B,2124,gene/protein,NCBI
190,PLCG2,5336,gene/protein,NCBI
191,IRF8,3394,gene/protein,NCBI
192,ALOX5AP,241,gene/protein,NCBI
193,CSNK1A1,1452,gene/protein,NCBI
194,AQP6,363,gene/protein,NCBI
195,CEBPA,1050,gene/protein,NCBI
196,TPI1,7167,gene/protein,NCBI
197,ALAS1,211,gene/protein,NCBI
198,ACTA1,58,gene/protein,NCBI
199,CLTCL1,8218,gene/protein,NCBI
200,C3,718,gene/protein,NCBI
201,EIF3H,8667,gene/protein,NCBI
202,MYO6,4646,gene/protein,NCBI
203,PAK2,5062,gene/protein,NCBI
204,CRKL,1399,gene/protein,NCBI
205,ADAM10,102,gene/protein,NCBI
206,CSNK1E,1454,gene/protein,NCBI
207,PDGFB,5155,gene/protein,NCBI
208,DDX3X,1654,gene/protein,NCBI
209,GRB14,2888,gene/protein,NCBI
210,IK,3550,gene/protein,NCBI
211,GRB7,2886,gene/protein,NCBI
212,CASP1,834,gene/protein,NCBI
213,AR,367,gene/protein,NCBI
214,STUB1,10273,gene/protein,NCBI
215,MAPK11,5600,gene/protein,NCBI
216,AGER,177,gene/protein,NCBI
217,NOTCH4,4855,gene/protein,NCBI
218,BDH1,622,gene/protein,NCBI
219,ARRB1,408,gene/protein,NCBI
220,CLTA,1211,gene/protein,NCBI
221,HLA-DRB5,3127,gene/protein,NCBI
222,DVL3,1857,gene/protein,NCBI
223,ACHE,43,gene/protein,NCBI
224,NPHS1,4868,gene/protein,NCBI
225,NCOA3,8202,gene/protein,NCBI
226,CREBBP,1387,gene/protein,NCBI
227,APLP2,334,gene/protein,NCBI
228,MAOB,4129,gene/protein,NCBI
229,CANX,821,gene/protein,NCBI
230,HOXA1,3198,gene/protein,NCBI
231,PKP3,11187,gene/protein,NCBI
232,TPBG,7162,gene/protein,NCBI
233,S100A9,6280,gene/protein,NCBI
234,GRK6,2870,gene/protein,NCBI
235,USF2,7392,gene/protein,NCBI
236,AP2M1,1173,gene/protein,NCBI
237,MAX,4149,gene/protein,NCBI
238,CHRNB2,1141,gene/protein,NCBI
239,STMN1,3925,gene/protein,NCBI
240,CDK5,1020,gene/protein,NCBI
241,ABCD3,5825,gene/protein,NCBI
242,ATP5ME,521,gene/protein,NCBI
243,CD79A,973,gene/protein,NCBI
244,ATP6V0E1,8992,gene/protein,NCBI
245,SNRNP70,6625,gene/protein,NCBI
246,SFN,2810,gene/protein,NCBI
247,ILF3,3609,gene/protein,NCBI
248,CBL,867,gene/protein,NCBI
249,EIF4B,1975,gene/protein,NCBI
250,ALOX5,240,gene/protein,NCBI
251,ACTN3,89,gene/protein,NCBI
252,DES,1674,gene/protein,NCBI
253,GNAI1,2770,gene/protein,NCBI
254,CLCN7,1186,gene/protein,NCBI
255,PTPRZ1,5803,gene/protein,NCBI
256,BCL3,602,gene/protein,NCBI
257,LAMP2,3920,gene/protein,NCBI
258,ATP2B1,490,gene/protein,NCBI
259,FAM189B,10712,gene/protein,NCBI
260,CLK1,1195,gene/protein,NCBI
261,BAK1,578,gene/protein,NCBI
262,RHOB,388,gene/protein,NCBI
263,DLG4,1742,gene/protein,NCBI
264,CEBPG,1054,gene/protein,NCBI
265,CFL1,1072,gene/protein,NCBI
266,DHCR24,1718,gene/protein,NCBI
267,PHLDB1,23187,gene/protein,NCBI
268,BUB1,699,gene/protein,NCBI
269,TTI1,9675,gene/protein,NCBI
270,MAFF,23764,gene/protein,NCBI
271,RUSC1,23623,gene/protein,NCBI
272,ELAVL3,1995,gene/protein,NCBI
273,RNF2,6045,gene/protein,NCBI
274,BCL6,604,gene/protein,NCBI
275,CDKN2B,1030,gene/protein,NCBI
276,GGCX,2677,gene/protein,NCBI
277,IL7R,3575,gene/protein,NCBI
278,HFE,3077,gene/protein,NCBI
279,RBM4,5936,gene/protein,NCBI
280,APOA1,335,gene/protein,NCBI
281,EZH2,2146,gene/protein,NCBI
282,GRK2,156,gene/protein,NCBI
283,HSP90AA1,3320,gene/protein,NCBI
284,ENTPD6,955,gene/protein,NCBI
285,FGF14,2259,gene/protein,NCBI
286,BARD1,580,gene/protein,NCBI
287,CDC34,997,gene/protein,NCBI
288,BIRC2,329,gene/protein,NCBI
289,TOMM70,9868,gene/protein,NCBI
290,SERPINE1,5054,gene/protein,NCBI
291,CRH,1392,gene/protein,NCBI
292,CTNND2,1501,gene/protein,NCBI
293,EPOR,2057,gene/protein,NCBI
294,FYN,2534,gene/protein,NCBI
295,PSIP1,11168,gene/protein,NCBI
296,CCND1,595,gene/protein,NCBI
297,P4HB,5034,gene/protein,NCBI
298,CSGALNACT2,55454,gene/protein,NCBI
299,CLEC3B,7123,gene/protein,NCBI
300,SAP18,10284,gene/protein,NCBI
301,SF1,7536,gene/protein,NCBI
302,IL4R,3566,gene/protein,NCBI
303,RNF5,6048,gene/protein,NCBI
304,INPPL1,3636,gene/protein,NCBI
305,CBLB,868,gene/protein,NCBI
306,CCNE1,898,gene/protein,NCBI
307,TFG,10342,gene/protein,NCBI
308,UBC,7316,gene/protein,NCBI
309,ATP6V1C1,528,gene/protein,NCBI
310,NOTCH1,4851,gene/protein,NCBI
311,RCC1,1104,gene/protein,NCBI
312,CTSD,1509,gene/protein,NCBI
313,SMAD3,4088,gene/protein,NCBI
314,STX1A,6804,gene/protein,NCBI
315,ATP6V1E1,529,gene/protein,NCBI
316,GET3,439,gene/protein,NCBI
317,CHGB,1114,gene/protein,NCBI
318,CASP8,841,gene/protein,NCBI
319,CDK2,1017,gene/protein,NCBI
320,HOMER3,9454,gene/protein,NCBI
321,ACAA2,10449,gene/protein,NCBI
322,PMEL,6490,gene/protein,NCBI
323,CCNB1,891,gene/protein,NCBI
324,JUP,3728,gene/protein,NCBI
325,BAD,572,gene/protein,NCBI
326,GSDME,1687,gene/protein,NCBI
327,VDAC1,7416,gene/protein,NCBI
328,MAP3K8,1326,gene/protein,NCBI
329,PRKCA,5578,gene/protein,NCBI
330,ADRB2,154,gene/protein,NCBI
331,TFF1,7031,gene/protein,NCBI
332,NUMA1,4926,gene/protein,NCBI
333,HNRNPA1,3178,gene/protein,NCBI
334,LAMTOR3,8649,gene/protein,NCBI
335,DPP4,1803,gene/protein,NCBI
336,KCNA5,3741,gene/protein,NCBI
337,KRT31,3881,gene/protein,NCBI
338,CASP6,839,gene/protein,NCBI
339,NFYA,4800,gene/protein,NCBI
340,CYFIP1,23191,gene/protein,NCBI
341,APAF1,317,gene/protein,NCBI
342,MBD4,8930,gene/protein,NCBI
343,ADAMTS1,9510,gene/protein,NCBI
344,NUP58,9818,gene/protein,NCBI
345,NR2C2,7182,gene/protein,NCBI
346,FHL2,2274,gene/protein,NCBI
347,SLC5A2,6524,gene/protein,NCBI
348,SSRP1,6749,gene/protein,NCBI
349,BRCA1,672,gene/protein,NCBI
350,DDIT3,1649,gene/protein,NCBI
351,FLNA,2316,gene/protein,NCBI
352,PSG11,5680,gene/protein,NCBI
353,BFSP2,8419,gene/protein,NCBI
354,NPY1R,4886,gene/protein,NCBI
355,E2F6,1876,gene/protein,NCBI
356,CPB2,1361,gene/protein,NCBI
357,DTNA,1837,gene/protein,NCBI
358,FOSL2,2355,gene/protein,NCBI
359,RHEB,6009,gene/protein,NCBI
360,MS4A4A,51338,gene/protein,NCBI
361,TAF1,6872,gene/protein,NCBI
362,ETFA,2108,gene/protein,NCBI
363,KPNA5,3841,gene/protein,NCBI
364,POU1F1,5449,gene/protein,NCBI
365,ADRA2A,150,gene/protein,NCBI
366,DHX9,1660,gene/protein,NCBI
367,DLD,1738,gene/protein,NCBI
368,MAPK9,5601,gene/protein,NCBI
369,CAV1,857,gene/protein,NCBI
370,POLR2A,5430,gene/protein,NCBI
371,ELOC,6921,gene/protein,NCBI
372,ABL1,25,gene/protein,NCBI
373,ANAPC11,51529,gene/protein,NCBI
374,SNRPC,6631,gene/protein,NCBI
375,FAP,2191,gene/protein,NCBI
376,SH3BP2,6452,gene/protein,NCBI
377,F2RL1,2150,gene/protein,NCBI
378,EBP,10682,gene/protein,NCBI
379,GATA4,2626,gene/protein,NCBI
380,ADD2,119,gene/protein,NCBI
381,DDN,23109,gene/protein,NCBI
382,GPI,2821,gene/protein,NCBI
383,AQP9,366,gene/protein,NCBI
384,TERF1,7013,gene/protein,NCBI
385,SRSF1,6426,gene/protein,NCBI
386,CDK11B,984,gene/protein,NCBI
387,DAPK1,1612,gene/protein,NCBI
388,LRPAP1,4043,gene/protein,NCBI
389,EPB41L1,2036,gene/protein,NCBI
390,ANXA11,311,gene/protein,NCBI
391,KPNA1,3836,gene/protein,NCBI
392,GOLGA2,2801,gene/protein,NCBI
393,TOP2B,7155,gene/protein,NCBI
394,AKT2,208,gene/protein,NCBI
395,ATP2A2,488,gene/protein,NCBI
396,DVL2,1856,gene/protein,NCBI
397,LGALS9,3965,gene/protein,NCBI
398,GP1BA,2811,gene/protein,NCBI
399,ADD1,118,gene/protein,NCBI
400,DDB1,1642,gene/protein,NCBI
401,TAL1,6886,gene/protein,NCBI
402,TMPRSS2,7113,gene/protein,NCBI
403,CUX1,1523,gene/protein,NCBI
404,PTK2B,2185,gene/protein,NCBI
405,CENPB,1059,gene/protein,NCBI
406,HYAL4,23553,gene/protein,NCBI
407,CALM3,808,gene/protein,NCBI
408,SORT1,6272,gene/protein,NCBI
409,EGFR,1956,gene/protein,NCBI
410,ATM,472,gene/protein,NCBI
411,WBP2,23558,gene/protein,NCBI
412,PBX3,5090,gene/protein,NCBI
413,DUSP9,1852,gene/protein,NCBI
414,EPHB3,2049,gene/protein,NCBI
415,RPL10A,4736,gene/protein,NCBI
416,H3-3A,3020,gene/protein,NCBI
417,EP300,2033,gene/protein,NCBI
418,ACTA2,59,gene/protein,NCBI
419,SUPT16H,11198,gene/protein,NCBI
420,FOXP3,50943,gene/protein,NCBI
421,DOK1,1796,gene/protein,NCBI
422,KRT3,3850,gene/protein,NCBI
423,FGF13,2258,gene/protein,NCBI
424,KRT15,3866,gene/protein,NCBI
425,CPE,1363,gene/protein,NCBI
426,EMILIN1,11117,gene/protein,NCBI
427,MRPL12,6182,gene/protein,NCBI
428,JAK2,3717,gene/protein,NCBI
429,IRF1,3659,gene/protein,NCBI
430,ACADVL,37,gene/protein,NCBI
431,GPC1,2817,gene/protein,NCBI
432,EIF5,1983,gene/protein,NCBI
433,SLC27A2,11001,gene/protein,NCBI
434,CDK4,1019,gene/protein,NCBI
435,HDAC3,8841,gene/protein,NCBI
436,MAL,4118,gene/protein,NCBI
437,XIAP,331,gene/protein,NCBI
438,SRSF10,10772,gene/protein,NCBI
439,APC,324,gene/protein,NCBI
440,CYP3A4,1576,gene/protein,NCBI
441,SHISA5,51246,gene/protein,NCBI
442,ARHGDIB,397,gene/protein,NCBI
443,SERPINC1,462,gene/protein,NCBI
444,KANK2,25959,gene/protein,NCBI
445,C1QBP,708,gene/protein,NCBI
446,RPS3A,6189,gene/protein,NCBI
447,FRS3,10817,gene/protein,NCBI
448,CYFIP2,26999,gene/protein,NCBI
449,HSD3B2,3284,gene/protein,NCBI
450,PLAC8,51316,gene/protein,NCBI
451,MATN3,4148,gene/protein,NCBI
452,ATP7B,540,gene/protein,NCBI
453,CASP7,840,gene/protein,NCBI
454,NPY,4852,gene/protein,NCBI
455,SLC30A1,7779,gene/protein,NCBI
456,SF3B1,23451,gene/protein,NCBI
457,ERC1,23085,gene/protein,NCBI
458,SP1,6667,gene/protein,NCBI
459,WASF1,8936,gene/protein,NCBI
460,HPS1,3257,gene/protein,NCBI
461,DMWD,1762,gene/protein,NCBI
462,CCR1,1230,gene/protein,NCBI
463,PLA2G10,8399,gene/protein,NCBI
464,TXN2,25828,gene/protein,NCBI
465,APBA2,321,gene/protein,NCBI
466,TARDBP,23435,gene/protein,NCBI
467,C4B,721,gene/protein,NCBI
468,DTNB,1838,gene/protein,NCBI
469,WBP1,23559,gene/protein,NCBI
470,CIAO1,9391,gene/protein,NCBI
471,GAK,2580,gene/protein,NCBI
472,CALML3,810,gene/protein,NCBI
473,C9,735,gene/protein,NCBI
474,ACTG2,72,gene/protein,NCBI
475,ITK,3702,gene/protein,NCBI
476,STAT1,6772,gene/protein,NCBI
477,CYP2C8,1558,gene/protein,NCBI
478,CD28,940,gene/protein,NCBI
479,KIT,3815,gene/protein,NCBI
480,TKT,7086,gene/protein,NCBI
481,KRT17,3872,gene/protein,NCBI
482,RELA,5970,gene/protein,NCBI
483,YBX1,4904,gene/protein,NCBI
484,CASP4,837,gene/protein,NCBI
485,SPINT1,6692,gene/protein,NCBI
486,LRBA,987,gene/protein,NCBI
487,ATP6V0A1,535,gene/protein,NCBI
488,TRIP6,7205,gene/protein,NCBI
489,CDSN,1041,gene/protein,NCBI
490,SMAD2,4087,gene/protein,NCBI
491,ABI2,10152,gene/protein,NCBI
492,AMPH,273,gene/protein,NCBI
493,TPM1,7168,gene/protein,NCBI
494,MKRN3,7681,gene/protein,NCBI
495,SPTBN1,6711,gene/protein,NCBI
496,BDKRB2,624,gene/protein,NCBI
497,CCNH,902,gene/protein,NCBI
498,LLGL2,3993,gene/protein,NCBI
499,CEBPD,1052,gene/protein,NCBI
500,CALD1,800,gene/protein,NCBI
501,CDX2,1045,gene/protein,NCBI
502,ISL1,3670,gene/protein,NCBI
503,PLCG1,5335,gene/protein,NCBI
504,TM9SF1,10548,gene/protein,NCBI
505,CLTB,1212,gene/protein,NCBI
506,ANXA2,302,gene/protein,NCBI
507,SLC30A3,7781,gene/protein,NCBI
508,TAGLN2,8407,gene/protein,NCBI
509,ABL2,27,gene/protein,NCBI
510,IFRD2,7866,gene/protein,NCBI
511,NCK2,8440,gene/protein,NCBI
512,HSPA5,3309,gene/protein,NCBI
513,BCAR1,9564,gene/protein,NCBI
514,NPY2R,4887,gene/protein,NCBI
515,BAG1,573,gene/protein,NCBI
516,CYP2C9,1559,gene/protein,NCBI
517,LYN,4067,gene/protein,NCBI
518,SERPINH1,871,gene/protein,NCBI
519,HSF2BP,11077,gene/protein,NCBI
520,HNRNPR,10236,gene/protein,NCBI
521,SLC25A12,8604,gene/protein,NCBI
522,ACTL6A,86,gene/protein,NCBI
523,SPAG6,9576,gene/protein,NCBI
524,CSN3,1448,gene/protein,NCBI
525,NFKBIB,4793,gene/protein,NCBI
526,CYB5A,1528,gene/protein,NCBI
527,SRSF11,9295,gene/protein,NCBI
528,CTNND1,1500,gene/protein,NCBI
529,TP53,7157,gene/protein,NCBI
530,NFATC2,4773,gene/protein,NCBI
531,ATF1,466,gene/protein,NCBI
532,PYY,5697,gene/protein,NCBI
533,ATP6V0D1,9114,gene/protein,NCBI
534,FAM189A2,9413,gene/protein,NCBI
535,NFKB1,4790,gene/protein,NCBI
536,MAPK6,5597,gene/protein,NCBI
537,HMGB1,3146,gene/protein,NCBI
538,SETX,23064,gene/protein,NCBI
539,CAT,847,gene/protein,NCBI
540,LEP,3952,gene/protein,NCBI
541,HSPA1A,3303,gene/protein,NCBI
542,SMARCD1,6602,gene/protein,NCBI
543,HLA-DRB1,3123,gene/protein,NCBI
544,CDC25B,994,gene/protein,NCBI
545,AP2A1,160,gene/protein,NCBI
546,ERBB4,2066,gene/protein,NCBI
547,TSG101,7251,gene/protein,NCBI
548,HIF1A,3091,gene/protein,NCBI
549,GEM,2669,gene/protein,NCBI
550,IGFBP3,3486,gene/protein,NCBI
551,SERPINA5,5104,gene/protein,NCBI
552,CHUK,1147,gene/protein,NCBI
553,KIFC3,3801,gene/protein,NCBI
554,SPECC1L,23384,gene/protein,NCBI
555,ST13,6767,gene/protein,NCBI
556,ALDH2,217,gene/protein,NCBI
557,DEFA1,1667,gene/protein,NCBI
558,IGFBP7,3490,gene/protein,NCBI
559,BLK,640,gene/protein,NCBI
560,SLC7A5,8140,gene/protein,NCBI
561,CAPNS1,826,gene/protein,NCBI
562,RPS18,6222,gene/protein,NCBI
563,ATP2B4,493,gene/protein,NCBI
564,FHL1,2273,gene/protein,NCBI
565,CCL11,6356,gene/protein,NCBI
566,MARK2,2011,gene/protein,NCBI
567,SRC,6714,gene/protein,NCBI
568,HSPD1,3329,gene/protein,NCBI
569,AFP,174,gene/protein,NCBI
570,CDK1,983,gene/protein,NCBI
571,CPD,1362,gene/protein,NCBI
572,SFPQ,6421,gene/protein,NCBI
573,SERPINA3,12,gene/protein,NCBI
574,DESI1,27351,gene/protein,NCBI
575,CASS4,57091,gene/protein,NCBI
576,DRP2,1821,gene/protein,NCBI
577,ACP1,52,gene/protein,NCBI
578,ENSA,2029,gene/protein,NCBI
579,CCN2,1490,gene/protein,NCBI
580,RANBP9,10048,gene/protein,NCBI
581,GAST,2520,gene/protein,NCBI
582,FLNB,2317,gene/protein,NCBI
583,AMY2A,279,gene/protein,NCBI
584,CD2,914,gene/protein,NCBI
585,SMAD4,4089,gene/protein,NCBI
586,AIFM1,9131,gene/protein,NCBI
587,NME2,4831,gene/protein,NCBI
588,FLT1,2321,gene/protein,NCBI
589,IFIT2,3433,gene/protein,NCBI
590,IRF5,3663,gene/protein,NCBI
591,KRT38,8687,gene/protein,NCBI
592,MMP2,4313,gene/protein,NCBI
593,IGFBP1,3484,gene/protein,NCBI
594,NOP2,4839,gene/protein,NCBI
595,DAXX,1616,gene/protein,NCBI
596,RPRD2,23248,gene/protein,NCBI
597,EPHA4,2043,gene/protein,NCBI
598,YIF1A,10897,gene/protein,NCBI
599,BCL2L1,598,gene/protein,NCBI
600,CA12,771,gene/protein,NCBI
601,HNRNPUL1,11100,gene/protein,NCBI
602,RRAS,6237,gene/protein,NCBI
603,SREBF1,6720,gene/protein,NCBI
604,SPCS2,9789,gene/protein,NCBI
605,APBB1,322,gene/protein,NCBI
606,MYC,4609,gene/protein,NCBI
607,SF3A1,10291,gene/protein,NCBI
608,MAPK14,1432,gene/protein,NCBI
609,EGR2,1959,gene/protein,NCBI
610,CPT1A,1374,gene/protein,NCBI
611,ZBTB33,10009,gene/protein,NCBI
612,PTPRG,5793,gene/protein,NCBI
613,MRPL23,6150,gene/protein,NCBI
614,MEP1B,4225,gene/protein,NCBI
615,ACTB,60,gene/protein,NCBI
616,DCX,1641,gene/protein,NCBI
617,ACTN1,87,gene/protein,NCBI
618,ABCF1,23,gene/protein,NCBI
619,PRG2,5553,gene/protein,NCBI
620,PSG1,5669,gene/protein,NCBI
621,DAZAP1,26528,gene/protein,NCBI
622,HNRNPD,3184,gene/protein,NCBI
623,SGCB,6443,gene/protein,NCBI
624,VASP,7408,gene/protein,NCBI
625,PARP1,142,gene/protein,NCBI
626,LMNB1,4001,gene/protein,NCBI
627,DYNC1H1,1778,gene/protein,NCBI
628,EPHA2,1969,gene/protein,NCBI
629,CAMLG,819,gene/protein,NCBI
630,DSP,1832,gene/protein,NCBI
631,E2F4,1874,gene/protein,NCBI
632,HTR3A,3359,gene/protein,NCBI
633,CA8,767,gene/protein,NCBI
634,DAG1,1605,gene/protein,NCBI
635,PKP2,5318,gene/protein,NCBI
636,ATXN1,6310,gene/protein,NCBI
637,GJB5,2709,gene/protein,NCBI
638,CYLD,1540,gene/protein,NCBI
639,ATP6V1A,523,gene/protein,NCBI
640,CR1,1378,gene/protein,NCBI
641,RAB5A,5868,gene/protein,NCBI
642,IAPP,3375,gene/protein,NCBI
643,CYB5R3,1727,gene/protein,NCBI
644,PKP4,8502,gene/protein,NCBI
645,ADGRE5,976,gene/protein,NCBI
646,CNP,1267,gene/protein,NCBI
647,CYP2B7P,1556,gene/protein,NCBI
648,VCAM1,7412,gene/protein,NCBI
649,ARRB2,409,gene/protein,NCBI
650,BTF3,689,gene/protein,NCBI
651,HLA-DMB,3109,gene/protein,NCBI
652,EBF1,1879,gene/protein,NCBI
