,relation,x_index,x_name,x_id,x_type,x_source,y_index,y_name,y_id,y_type,y_source,pmid,probability
68,associates,-1,psychiatric disorders,MESH:D001523,Disease,ncbi_mesh,-1,hospitalisations,,SDoH factor,healthypeople,35348586.0,0.5
69,associates,-1,neurodegeneration,MESH:D019636,Disease,ncbi_mesh,-1,elderly single-center memory clinic,,SDoH factor,healthypeople,32538838.0,0.5
70,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,Diversity,,SDoH factor,healthypeople,33895818.0,1.0
71,modulated by,-1,bacteria,629395,Species,ncbi_taxonomy,-1,environmental conditions,,SDoH factor,healthypeople,38919613.0,0.5
72,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,health priorities,,SDoH factor,healthypeople,36560290.0,0.5
73,associates,-1,cognitive impairment,MESH:D003072,Disease,ncbi_mesh,-1,healthcare goals,,SDoH factor,healthypeople,36560290.0,0.5
74,associates,-1,Injury,MESH:D014947,Disease,ncbi_mesh,-1,fall-reduction interventions,,SDoH factor,healthypeople,34320558.0,0.5
75,associates,-1,head injury,MESH:D006259,Disease,ncbi_mesh,-1,fall-reduction interventions,,SDoH factor,healthypeople,34320558.0,1.0
76,associates,-1,Injury,MESH:D014947,Disease,ncbi_mesh,-1,prevention,,SDoH factor,healthypeople,34320558.0,0.5
77,associates,-1,head injury,MESH:D006259,Disease,ncbi_mesh,-1,prevention,,SDoH factor,healthypeople,34320558.0,1.0
78,associates,-1,BPSD,MESH:D000067073,Disease,ncbi_mesh,-1,families,,SDoH factor,healthypeople,35820373.0,0.5
79,associates,-1,patients,9606,Species,ncbi_taxonomy,-1,urban,,SDoH factor,healthypeople,36905601.0,1.0
80,associates,-1,Alzheimer's disease,MESH:D000544,Disease,ncbi_mesh,-1,region,,SDoH factor,healthypeople,33143703.0,0.4
81,associates,-1,APOE,348,Gene,ncbi_gene,-1,region,,SDoH factor,healthypeople,33143703.0,0.5
82,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,region,,SDoH factor,healthypeople,33143703.0,0.4
83,associates,-1,carer distress,MESH:D012128,Disease,ncbi_mesh,-1,NHA,,SDoH factor,healthypeople,32524943.0,0.428571429
84,associates,-1,fiber,MESH:D004043,Chemical,ncbi_mesh,-1,environmental factors,,SDoH factor,healthypeople,31837645.0,0.5
85,associates,-1,metabolic diseases,MESH:D008659,Disease,ncbi_mesh,-1,environmental factors,,SDoH factor,healthypeople,31837645.0,0.5
86,associates,-1,participants,9606,Species,ncbi_taxonomy,-1,web study,,SDoH factor,healthypeople,34292159.0,0.75
87,associates,-1,cholesterol,MESH:D002784,Chemical,ncbi_mesh,-1,education,,SDoH factor,healthypeople,38787369.0,1.0
88,associates,-1,neurological and mental disorders,MESH:D001523,Disease,ncbi_mesh,-1,environmental,,SDoH factor,healthypeople,32565452.0,0.5
89,associates,-1,psychological disorders,MESH:D000067073,Disease,ncbi_mesh,-1,environmental exposures,,SDoH factor,healthypeople,32565452.0,0.5
90,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,Stigma,,SDoH factor,healthypeople,33185610.0,0.444444444
91,covaries,-1,cognitive disorders,MESH:D003072,Disease,ncbi_mesh,-1,Level of education,,SDoH factor,healthypeople,33185610.0,1.0
92,covaries,-1,cognitive disorders,MESH:D003072,Disease,ncbi_mesh,-1,Cultural differences,,SDoH factor,healthypeople,33185610.0,1.0
93,associates,-1,Alzheimer's disease,MESH:D000544,Disease,ncbi_mesh,-1,neurotoxins,,SDoH factor,healthypeople,35457501.0,1.0
94,associates,-1,adiposity,MESH:D018205,Disease,ncbi_mesh,-1,Sunlight,,SDoH factor,healthypeople,32573118.0,0.625
95,associates,-1,women,9606,Species,ncbi_taxonomy,-1,Black American,,SDoH factor,healthypeople,37256757.0,0.75
96,associates,-1,impaired social function,OMIM:300082,Disease,omim,-1,social function,,SDoH factor,healthypeople,33900530.0,1.0
97,associates,-1,Alzheimer's disease,MESH:D000544,Disease,ncbi_mesh,-1,costs,,SDoH factor,healthypeople,32553204.0,0.5
98,associates,-1,emotional anguish,MESH:D003072,Disease,ncbi_mesh,-1,interactions,,SDoH factor,healthypeople,32969294.0,1.0
99,associates,-1,emotional anguish,MESH:D003072,Disease,ncbi_mesh,-1,healthcare professionals,,SDoH factor,healthypeople,32969294.0,1.0
100,associates,-1,patients,9606,Species,ncbi_taxonomy,-1,schooling,,SDoH factor,healthypeople,35465913.0,0.75
101,associates,-1,toxicity,MESH:D064420,Disease,ncbi_mesh,-1,environments,,SDoH factor,healthypeople,32938351.0,1.0
102,associates,-1,chronic diseases,MESH:D002908,Disease,ncbi_mesh,-1,ethnicity,,SDoH factor,healthypeople,36541134.0,1.0
103,associates,-1,chronic diseases,MESH:D002908,Disease,ncbi_mesh,-1,Race,,SDoH factor,healthypeople,36541134.0,1.0
104,associates,-1,Alzheimer's disease,MESH:D000544,Disease,ncbi_mesh,-1,caregivers,,SDoH factor,healthypeople,36541134.0,1.0
105,associates,-1,Alzheimer's disease,MESH:D000544,Disease,ncbi_mesh,-1,healthcare providers,,SDoH factor,healthypeople,36541134.0,1.0
106,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,healthcare providers,,SDoH factor,healthypeople,36541134.0,1.0
107,associates,-1,cognitive impairments,MESH:D003072,Disease,ncbi_mesh,-1,healthcare providers,,SDoH factor,healthypeople,36541134.0,1.0
108,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,racial differences,,SDoH factor,healthypeople,32759188.0,0.75
109,quantifies,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,healthcare,,SDoH factor,healthypeople,35526325.0,1.0
110,quantifies,-1,cognitive decline,MESH:D003072,Disease,ncbi_mesh,-1,healthcare,,SDoH factor,healthypeople,35526325.0,0.5
111,associates,-1,malononitrile,MESH:C000945,Chemical,ncbi_mesh,-1,environment,,SDoH factor,healthypeople,31471933.0,0.5
112,associates,-1,Alzheimer's Disease,MESH:D000544,Disease,ncbi_mesh,-1,socioeconomic composition,,SDoH factor,healthypeople,35213778.0,1.0
113,associates,-1,cognitive communication difficulties,MESH:D003147,Disease,ncbi_mesh,-1,screening,,SDoH factor,healthypeople,33051989.0,1.0
114,associates,-1,illness,MESH:D002908,Disease,ncbi_mesh,-1,medical care,,SDoH factor,healthypeople,35879001.0,0.5
115,associates,-1,illness,MESH:D002908,Disease,ncbi_mesh,-1,hospital setting,,SDoH factor,healthypeople,35879001.0,0.5
116,associates,-1,Alzheimer's disease,MESH:D000544,Disease,ncbi_mesh,-1,hospitalised adults,,SDoH factor,healthypeople,35879001.0,1.0
117,associates,-1,Dementias,MESH:D003704,Disease,ncbi_mesh,-1,hospitalised adults,,SDoH factor,healthypeople,35879001.0,1.0
118,associates,-1,dementias,MESH:D003704,Disease,ncbi_mesh,-1,Families,,SDoH factor,healthypeople,33967054.0,1.0
119,associates,-1,abnormal brain aging,MESH:D001927,Disease,ncbi_mesh,-1,community,,SDoH factor,healthypeople,35431244.0,1.0
120,associates,-1,functional decline,MESH:D060825,Disease,ncbi_mesh,-1,loneliness,,SDoH factor,healthypeople,35733122.0,1.0
121,associates,-1,functional decline,MESH:D060825,Disease,ncbi_mesh,-1,social isolation,,SDoH factor,healthypeople,35733122.0,1.0
122,associates,-1,Neurodegenerative diseases,MESH:D019636,Disease,ncbi_mesh,-1,financial performance,,SDoH factor,healthypeople,37594689.0,0.5
123,associates,-1,MCI,MESH:D060825,Disease,ncbi_mesh,-1,financial performance,,SDoH factor,healthypeople,37594689.0,0.4
124,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,jobs,,SDoH factor,healthypeople,37037592.0,0.5
125,associates,-1,Alzheimer's disease,MESH:D000544,Disease,ncbi_mesh,-1,health information,,SDoH factor,healthypeople,35871354.0,0.5
126,associates,-1,gQC,54814,Gene,ncbi_gene,-1,clinic,,SDoH factor,healthypeople,38817193.0,0.5
127,associates,-1,gQC,67369,Gene,ncbi_gene,-1,clinic,,SDoH factor,healthypeople,38817193.0,0.5
128,associates,-1,dementias,MESH:D003704,Disease,ncbi_mesh,-1,racial/ethnic disparities,,SDoH factor,healthypeople,35852087.0,0.5
129,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,leisure walking,,SDoH factor,healthypeople,35805735.0,0.833333333
130,associates,-1,cognitive problems,MESH:D003072,Disease,ncbi_mesh,-1,Learning,,SDoH factor,healthypeople,34001020.0,0.666666667
131,associates,-1,smoking,MESH:D015208,Disease,ncbi_mesh,-1,environmental factors,,SDoH factor,healthypeople,36477107.0,0.5
132,associates,-1,Abeta,351,Gene,ncbi_gene,-1,screening,,SDoH factor,healthypeople,37038102.0,0.5
133,associates,-1,Abeta,351,Gene,ncbi_gene,-1,community settings,,SDoH factor,healthypeople,37038102.0,0.5
134,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,primary care providers,,SDoH factor,healthypeople,31274678.0,0.666666667
135,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,provider,,SDoH factor,healthypeople,31274678.0,1.0
136,associates,-1,mood disturbance,MESH:D019964,Disease,ncbi_mesh,-1,clinical assessment,,SDoH factor,healthypeople,37316181.0,1.0
137,associates,-1,neurocognitive deficits,MESH:D009461,Disease,ncbi_mesh,-1,clinical assessment,,SDoH factor,healthypeople,37316181.0,1.0
138,associates,-1,brain injury,MESH:D001930,Disease,ncbi_mesh,-1,clinical assessment,,SDoH factor,healthypeople,37316181.0,1.0
139,associates,-1,COVID-19,MESH:D000086382,Disease,ncbi_mesh,-1,loneliness,,SDoH factor,healthypeople,37751448.0,0.5
140,associates,-1,participants,9606,Species,ncbi_taxonomy,-1,relationships,,SDoH factor,healthypeople,36355638.0,1.0
141,associates,-1,Water,MESH:D014867,Chemical,ncbi_mesh,-1,industrial,,SDoH factor,healthypeople,35624361.0,0.5
142,associates,-1,cognitive impairment,MESH:D003072,Disease,ncbi_mesh,-1,group,,SDoH factor,healthypeople,34125847.0,1.0
143,associates,-1,MCI,MESH:D060825,Disease,ncbi_mesh,-1,group,,SDoH factor,healthypeople,34125847.0,0.5
144,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,student,,SDoH factor,healthypeople,35429287.0,0.666666667
145,associates,-1,PWD,MESH:C000719191,Disease,ncbi_mesh,-1,medical education,,SDoH factor,healthypeople,35429287.0,0.4
146,associates,-1,PWD,MESH:C000719191,Disease,ncbi_mesh,-1,student,,SDoH factor,healthypeople,35429287.0,0.428571429
147,associates,-1,Patient,9606,Species,ncbi_taxonomy,-1,Public Involvement,,SDoH factor,healthypeople,38840115.0,0.5
148,associates,-1,Alzheimer's disease,MESH:D000544,Disease,ncbi_mesh,-1,memory clinic setting,,SDoH factor,healthypeople,35504263.0,0.5
149,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,memory clinic setting,,SDoH factor,healthypeople,35504263.0,0.5
150,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,general practitioners,,SDoH factor,healthypeople,35504263.0,0.5
151,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,neurologists,,SDoH factor,healthypeople,35504263.0,0.5
152,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,psychiatrists,,SDoH factor,healthypeople,35504263.0,0.5
153,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,self-referrals,,SDoH factor,healthypeople,35504263.0,0.5
154,associates,-1,patients,9606,Species,ncbi_taxonomy,-1,neurologists,,SDoH factor,healthypeople,35504263.0,1.0
155,associates,-1,patients,9606,Species,ncbi_taxonomy,-1,psychiatrists,,SDoH factor,healthypeople,35504263.0,1.0
156,associates,-1,patients,9606,Species,ncbi_taxonomy,-1,self-referrals,,SDoH factor,healthypeople,35504263.0,1.0
157,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,memory clinic,,SDoH factor,healthypeople,35504263.0,0.666666667
158,associates,-1,tau,4137,Gene,ncbi_gene,-1,memory clinic setting,,SDoH factor,healthypeople,35504263.0,0.5
159,associates,-1,donepezil,MESH:D000077265,Chemical,ncbi_mesh,-1,health coverage,,SDoH factor,healthypeople,33409682.0,0.5
160,associates,-1,galantamine,MESH:D005702,Chemical,ncbi_mesh,-1,health coverage,,SDoH factor,healthypeople,33409682.0,0.5
161,associates,-1,rivastigmine,MESH:D000068836,Chemical,ncbi_mesh,-1,health coverage,,SDoH factor,healthypeople,33409682.0,0.5
162,associates,-1,memantine,MESH:D008559,Chemical,ncbi_mesh,-1,health coverage,,SDoH factor,healthypeople,33409682.0,0.5
163,associates,-1,donepezil,MESH:D000077265,Chemical,ncbi_mesh,-1,universal health coverage,,SDoH factor,healthypeople,33409682.0,0.5
164,associates,-1,galantamine,MESH:D005702,Chemical,ncbi_mesh,-1,universal health coverage,,SDoH factor,healthypeople,33409682.0,0.5
165,associates,-1,rivastigmine,MESH:D000068836,Chemical,ncbi_mesh,-1,universal health coverage,,SDoH factor,healthypeople,33409682.0,0.5
166,associates,-1,memantine,MESH:D008559,Chemical,ncbi_mesh,-1,universal health coverage,,SDoH factor,healthypeople,33409682.0,0.5
167,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,care team,,SDoH factor,healthypeople,30497302.0,0.5
168,associates,-1,patients,9606,Species,ncbi_taxonomy,-1,psychosocial strategies,,SDoH factor,healthypeople,30497302.0,1.0
169,associates,-1,patients,9606,Species,ncbi_taxonomy,-1,HCP,,SDoH factor,healthypeople,36774647.0,0.5
170,associates,-1,patients,9606,Species,ncbi_taxonomy,-1,Healthcare practitioners,,SDoH factor,healthypeople,36774647.0,0.5
171,associates,-1,patients,9606,Species,ncbi_taxonomy,-1,inadequate preparation,,SDoH factor,healthypeople,36774647.0,0.5
172,associates,-1,chronic diseases,MESH:D002908,Disease,ncbi_mesh,-1,health decision making,,SDoH factor,healthypeople,33509183.0,0.5
173,associates,-1,chronic diseases,MESH:D002908,Disease,ncbi_mesh,-1,health information,,SDoH factor,healthypeople,33509183.0,0.5
174,associates,-1,chronic diseases,MESH:D002908,Disease,ncbi_mesh,-1,health websites,,SDoH factor,healthypeople,33509183.0,0.5
175,associates,-1,elderly diseases,MESH:D004194,Disease,ncbi_mesh,-1,online health,,SDoH factor,healthypeople,33509183.0,1.0
176,associates,-1,cognitive impairment,MESH:D003072,Disease,ncbi_mesh,-1,ambulatory care settings,,SDoH factor,healthypeople,32441837.0,0.5
177,covaries,-1,infections,MESH:D007239,Disease,ncbi_mesh,-1,physical interaction,,SDoH factor,healthypeople,34238568.0,0.5
178,covaries,-1,infections,MESH:D007239,Disease,ncbi_mesh,-1,social distancing,,SDoH factor,healthypeople,34238568.0,0.5
179,associates,-1,brain disorders,MESH:D001927,Disease,ncbi_mesh,-1,environmental,,SDoH factor,healthypeople,35000177.0,1.0
180,associates,-1,neurodevelopmental problems,MESH:D019973,Disease,ncbi_mesh,-1,Particulate matter,,SDoH factor,healthypeople,35000177.0,1.0
181,associates,-1,Depression,MESH:D003866,Disease,ncbi_mesh,-1,dignity,,SDoH factor,healthypeople,31870177.0,1.0
182,associates,-1,pain,MESH:D010146,Disease,ncbi_mesh,-1,dignity,,SDoH factor,healthypeople,31870177.0,1.0
183,associates,-1,memory decline,MESH:D060825,Disease,ncbi_mesh,-1,community health services,,SDoH factor,healthypeople,34525960.0,1.0
184,associates,-1,memory decline,MESH:D060825,Disease,ncbi_mesh,-1,family medicine practice,,SDoH factor,healthypeople,34525960.0,1.0
185,associates,-1,memory decline,MESH:D060825,Disease,ncbi_mesh,-1,family,,SDoH factor,healthypeople,34525960.0,1.0
186,associates,-1,Alzheimer's Disease,MESH:D000544,Disease,ncbi_mesh,-1,community agents,,SDoH factor,healthypeople,38511785.0,1.0
187,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,Education,,SDoH factor,healthypeople,33226079.0,0.6
188,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,TRAP,,SDoH factor,healthypeople,38185046.0,0.666666667
189,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,UFP,,SDoH factor,healthypeople,38185046.0,0.444444444
190,associates,-1,tau,4137,Gene,ncbi_gene,-1,collaboration model,,SDoH factor,healthypeople,37541423.0,1.0
191,associates,-1,human immunodeficiency virus,12721,Species,ncbi_taxonomy,-1,access,,SDoH factor,healthypeople,36630558.0,0.5
192,associates,-1,acquired immune deficiency syndrome,MESH:D000163,Disease,ncbi_mesh,-1,access,,SDoH factor,healthypeople,36630558.0,0.5
193,associates,-1,cancer,MESH:D009369,Disease,ncbi_mesh,-1,access,,SDoH factor,healthypeople,36630558.0,0.5
194,associates,-1,cognitive impairment,MESH:D003072,Disease,ncbi_mesh,-1,HHC,,SDoH factor,healthypeople,37751588.0,0.4
195,associates,-1,neuroinflammation,MESH:D000090862,Disease,ncbi_mesh,-1,social interaction,,SDoH factor,healthypeople,37518829.0,1.0
196,associates,-1,hypertension,MESH:D006973,Disease,ncbi_mesh,-1,race,,SDoH factor,healthypeople,32474754.0,1.0
197,associates,-1,alcohol,MESH:D000438,Chemical,ncbi_mesh,-1,race,,SDoH factor,healthypeople,32474754.0,0.5
198,associates,-1,cholesterol,MESH:D002784,Chemical,ncbi_mesh,-1,race,,SDoH factor,healthypeople,32474754.0,0.5
199,associates,-1,cholesterol,MESH:D002784,Chemical,ncbi_mesh,-1,socioeconomic status,,SDoH factor,healthypeople,32474754.0,0.5
200,associates,-1,type 2 diabetes,MESH:D003924,Disease,ncbi_mesh,-1,race,,SDoH factor,healthypeople,32474754.0,1.0
201,associates,-1,type 2 diabetes,MESH:D003924,Disease,ncbi_mesh,-1,socioeconomic status,,SDoH factor,healthypeople,32474754.0,1.0
202,associates,-1,cardiac disorders,MESH:D006331,Disease,ncbi_mesh,-1,race,,SDoH factor,healthypeople,32474754.0,0.5
203,associates,-1,patient,9606,Species,ncbi_taxonomy,-1,care partner,,SDoH factor,healthypeople,36958392.0,0.5
204,associates,-1,patient,9606,Species,ncbi_taxonomy,-1,relationship,,SDoH factor,healthypeople,36958392.0,1.0
205,downregulates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,Social connectedness,,SDoH factor,healthypeople,35785759.0,0.4
206,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,household income,,SDoH factor,healthypeople,31911519.0,0.444444444
207,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,Disabilities,,SDoH factor,healthypeople,37118723.0,0.5
